Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
140,Dion Dublin,eng ENG,"DF,FW",Aston Villa,30,1969,26,23,2033,22.6,12,4,16,11,1,2,1,0,0.53,0.18,0.71,0.49,0.66,Matches
141,Lawrie Dudfield,eng ENG,FW,Leicester City,19,1980,2,0,58,0.6,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches
142,Franck Dumas,fr FRA,"DF,MF",Newcastle Utd,31,1968,6,6,523,5.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
143,Richard Dunne,ie IRL,DF,Everton,19,1979,31,27,2325,25.8,0,0,0,0,0,0,6,2,0.00,0.00,0.00,0.00,0.00,Matches
144,Kieron Dyer,eng ENG,MF,Newcastle Utd,20,1978,30,27,2334,25.9,3,6,9,3,0,0,1,0,0.12,0.23,0.35,0.12,0.35,Matches
145,Darren Eadie,eng ENG,MF,Leicester City,24,1975,16,15,1278,14.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
146,Robbie Earle,jm JAM,MF,Wimbledon,34,1965,25,23,1923,21.4,3,0,3,3,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches
147,Clint Easton,eng ENG,"DF,MF",Watford,21,1977,17,13,1096,12.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
148,Justin Edinburgh,eng ENG,DF,Tottenham,29,1969,8,7,638,7.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
149,Marc Edworthy,eng ENG,DF,Coventry City,26,1972,10,10,882,9.8,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
150,Trond Egil Soltvedt,no NOR,MF,Southampton,32,1967,24,17,1577,17.5,1,4,5,1,0,0,0,0,0.06,0.23,0.29,0.06,0.29,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Ugo Ehiogu,eng ENG,DF,Aston Villa,26,1972,31,31,2766,30.7,1,0,1,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matches
152,Marcelino Elena,es ESP,DF,Newcastle Utd,27,1971,11,10,880,9.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
153,Matt Elliott,sct SCO,DF,Leicester City,30,1968,37,37,3330,37.0,6,4,10,6,0,0,2,0,0.16,0.11,0.27,0.16,0.27,Matches
154,Steve Elliott,eng ENG,DF,Derby County,20,1978,19,18,1521,16.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
